Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
2/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
3/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
4/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
5/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
6/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
7/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
8/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
10/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
11/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
12/9/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/13/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/14/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/15/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/16/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/17/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/18/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/19/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/20/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/21/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/22/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/23/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/24/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/25/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/26/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/27/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/28/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/29/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
9/30/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
1/10/2010,24,29.8,25.9,88,0.6,0.3,5,180,3,S 
2/10/2010,23,30.4,25.3,91,0.9,0.5,5,180,2,S 
3/10/2010,24,31,25.8,92,17.4,0.5,7,180,3,N 
4/10/2010,24,29,25.9,90,1,0.1,4,360,1,N 
5/10/2010,23,30.4,27.2,87,3.4,0.6,4,180,3,N 
6/10/2010,24,30.4,26.6,86,22.8,0.6,7,360,3,N 
7/10/2010,23,28.8,26.1,91,2.4,0.2,6,360,3,N 
8/10/2010,23,29.8,25.5,90,3,0.5,5,360,3,N 
9/10/2010,23,31,26,87,4,0.6,10,180,4,N 
10/10/2010,21,28.2,24.6,94,25.8,0,8,360,3,N 
11/10/2010,22,30,26.1,83,0,0.9,6,180,4,S 
12/10/2010,24,30.2,26,88,0.3,0,6,180,3,N 
10/13/2010,23,30.6,26.7,88,0.3,0.5,5,360,2,N 
10/14/2010,23,31.4,26.4,82,0,1,6,180,4,S 
10/15/2010,22,31.4,27.4,80,0,0.9,6,180,4,N 
10/16/2010,23,32,26.5,76,0,0.9,5,180,3,S 
10/17/2010,22,31.2,26.8,80,0,0.4,6,360,3,N 
10/18/2010,23,31.2,26.8,80,0,0.7,7,180,4,N 
10/19/2010,24,32,27.7,79,1.6,0.6,18,360,4,N 
10/20/2010,24,29.8,26.3,87,4.2,0.2,5,360,2,N 
10/21/2010,23,30.8,25,87,28,0.5,5,360,3,N 
10/22/2010,23,31.4,26.1,80,0,0.8,6,180,3,N 
10/23/2010,24,31,27.1,83,18.8,0.6,7,180,3,N 
10/24/2010,23,29,26.2,88,8.6,0.2,3,360,1,N 
10/25/2010,23,31.1,26.8,87,15,0.7,15,180,4,N 
10/26/2010,24,31.6,27,84,0,0.9,7,360,3,N 
10/27/2010,23,30.4,26.9,84,37.3,0.4,6,360,4,N 
10/28/2010,24,30.2,25.3,91,8.2,0.4,5,360,3,N 
10/29/2010,24,30,26.2,86,2.2,0.4,6,180,2,N 
10/30/2010,24,30.8,25.3,89,2.8,0.4,8,360,4,N 
10/31/2010,24,30.6,26.7,85,0.2,0.7,8,180,4,W 
1/11/2010,23,30.2,26.5,80,0,0.8,4,180,3,N 
2/11/2010,24,30.8,26.6,84,2,0.5,6,180,3,N 
3/11/2010,22,29.2,24.8,92,52.2,0.1,6,180,3,N 
4/11/2010,24,30.8,26.8,81,0,0.6,5,180,3,W 
5/11/2010,23,29.4,24.6,92,0,0.2,5,180,3,N 
6/11/2010,23,31,26.6,84,0,0.6,5,360,2,N 
7/11/2010,23,30.4,25.9,88,18.6,0.4,8,180,3,N 
8/11/2010,24,31,27.3,83,0,0.7,6,180,3,SW
9/11/2010,23,30.4,26.7,85,0,0.2,4,225,2,N 
10/11/2010,23,30,25.9,86,0.5,0.2,34,180,5,N 
11/11/2010,24,30.8,26.5,82,18.4,0.4,6,180,3,S 
12/11/2010,23,29.2,26.1,87,40.8,0.2,6,180,3,W 
11/13/2010,23,30,26.8,89,4.2,0.5,5,360,3,S 
11/14/2010,24,30.6,26.4,90,0.8,0.3,4,180,3,N 
11/15/2010,23,30.6,24.5,94,0,0.2,8,180,3,SW
11/16/2010,23,29.6,24.7,95,13.6,0,5,180,2,S 
11/17/2010,23,29,24.9,92,0,0.2,4,180,2,N 
11/18/2010,22,30.4,26.5,86,21.8,0.3,5,360,3,N 
11/19/2010,23,31.6,26.3,84,0,0.6,7,360,3,N 
11/20/2010,24,29.8,26.7,85,0,0.4,6,180,3,N 
11/21/2010,23,30.6,26.1,88,0,0.4,5,45,2,N 
11/22/2010,22,30.6,25.1,92,30,0.3,5,360,2,N 
11/23/2010,22,30.4,25,88,5.2,0.4,6,180,3,S 
11/24/2010,24,31.2,26.6,85,0,0.7,5,180,3,S 
11/25/2010,24,31.2,27,84,0,0.7,4,180,3,N 
11/26/2010,24,31,26.8,86,0,0.4,5,360,3,N 
11/27/2010,23,29.8,25.7,89,0,0.3,5,360,2,W 
11/28/2010,23,30.4,24.7,94,0,0.4,5,180,3,S 
11/29/2010,23,30.4,26.2,88,1.8,0.6,4,180,2,N 
11/30/2010,23,31.2,26.9,83,1.5,0.5,4,360,3,N 
1/12/2010,23,30.8,26.3,87,1.6,0.5,5,360,3,N 
2/12/2010,24,31.8,27.5,80,0,0.6,6,360,4,N 
3/12/2010,23,31.2,27.1,85,3.8,0.4,5,360,2,N 
4/12/2010,23,31,27.1,82,40,0.6,4,180,3,N 
5/12/2010,23,28.6,26,91,10.8,0.2,5,0,2,N 
6/12/2010,23,30.4,27.3,82,10,0.3,5,0,3,N 
7/12/2010,23,30,24.6,92,23.6,0.2,6,0,3,N 
8/12/2010,23,29.6,25.1,94,7,0.1,5,0,3,N 
9/12/2010,23,31,24.8,84,2.5,0.7,6,0,4,N 
10/12/2010,23,31,26.7,85,0.1,0.5,6,0,4,N 
11/12/2010,23,30.2,25.7,89,3,0.3,6,0,3,N 
12/12/2010,23,30.4,26.2,78,20.5,0.6,4,0,2,N 
12/13/2010,23,29.8,24.8,78,0,0,5,0,2,N 
12/14/2010,23,31.6,27.1,80,1.4,0.2,5,0,3,N 
12/15/2010,23,28,25.2,86,1.5,0,8,0,2,N 
12/16/2010,23,29.6,26.4,85,0.5,0.2,5,360,3,N 
12/17/2010,22,30.4,26.8,82,0,0.7,6,360,3,N 
12/18/2010,22,30.4,25.6,87,0.2,0.7,4,180,3,N 
12/19/2010,21,30.4,25.8,87,61.5,0,8,360,3,N 
12/20/2010,23,30.8,26.3,80,15.2,0.6,5,180,4,N 
12/21/2010,23,30.4,26.4,86,6.4,0.5,7,360,4,N 
12/22/2010,24,30.8,26.5,85,0.1,0.3,5,360,3,N 
12/23/2010,22,31,27.6,81,8.9,0,9,360,5,N 
12/24/2010,22,30,24.5,91,51,0.1,7,360,3,N 
12/25/2010,22,30.8,25.3,91,4.3,0.1,4,360,2,N 
12/26/2010,23,27,24.3,92,27.6,0,5,360,3,N 
12/27/2010,23,29.6,25.9,84,0,0.1,5,360,3,N 
12/28/2010,23,31.2,26.9,86,3,0.6,7,360,3,S 
12/29/2010,23,29,25.1,94,4.3,0.1,8,360,4,N 
12/30/2010,23,30.8,26.1,85,15.4,0.2,5,360,3,N 
12/31/2010,22,29.2,24.7,91,48.3,0,5,0,3,N 
1/1/2011,22,28.6,23.3,96,18.8,0.3,5,360,4,N 
