Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
24-07-2010,,,,,,,,,,
25-07-2010,,,,,,,,,,
26-07-2010,,,,,,,,,,
27-07-2010,,,,,,,,,,
28-07-2010,,,,,,,,,,
29-07-2010,,,,,,,,,,
30-07-2010,,,,,,,,,,
31-07-2010,,,,,,,,,,
01-08-2010,22,26,24.3,95,0,0,3,360,1,SE
02-08-2010,22,29,25.4,88,2.2,0,3,360,1,N 
03-08-2010,23,29,26,84,13,0.6,5,180,2,S 
04-08-2010,23,29.2,25.9,87,25.8,0,4,180,2,SW
05-08-2010,23,29,25.3,89,4.2,0.4,6,135,2,S 
06-08-2010,23,30,24.9,91,77.6,0,4,135,2,S 
07-08-2010,23,28.4,24.6,91,15.4,0.1,3,135,0,S 
08-08-2010,23,27.4,24.9,92,6.6,0.1,10,180,3,S 
09-08-2010,23,28.8,25.3,91,0,0.1,5,180,2,S 
10-08-2010,23,29,24.5,94,11,0,6,360,2,N 
11-08-2010,24,29,25,89,6.4,0.6,6,360,2,N 
12-08-2010,23,29.6,24.7,90,14.9,0.7,5,180,3,N 
13-08-2010,23,28.6,25.5,89,4,0.5,4,180,2,N 
14-08-2010,24,29.2,26.1,88,0,0.5,8,180,3,SW
15-08-2010,23,29.4,27.2,78,1.3,0.2,6,180,2,S 
16-08-2010,23,29,26.2,88,73.4,0,4,180,2,N 
17-08-2010,20,27.4,24.9,92,6.5,0.1,4,180,1,S 
18-08-2010,24,27.8,25,97,14.7,0.2,4,135,2,N 
19-08-2010,25,29.8,26.1,87,2.8,0.4,5,180,2,N 
20-08-2010,24,29.4,26.2,87,6.4,0.3,5,180,2,S 
21-08-2010,22,29,25.9,88,1.8,0,6,180,3,S 
22-08-2010,23,30.2,25.1,89,3.4,0,5,180,2,SW
23-08-2010,24,29.6,25.4,88,80.9,0.1,5,180,2,SW
24-08-2010,19,27.2,24.8,96,39.2,0.2,6,180,1,S 
25-08-2010,23,28.4,24.8,93,6.9,0.4,6,180,2,S 
26-08-2010,23,29.6,24.8,93,0,0.5,5,180,3,S 
27-08-2010,22,29.6,25.1,91,5.1,0.6,6,180,4,S 
28-08-2010,23,29.2,24.7,90,0.6,0.2,4,180,2,S 
29-08-2010,23,29.2,24.9,90,37.3,0.4,6,360,2,S 
30-08-2010,22,29,25,90,4.6,0.5,8,360,3,N 
31-08-2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
01-09-2010,,,,,,,,,,
02-09-2010,,,,,,,,,,
03-09-2010,,,,,,,,,,
04-09-2010,,,,,,,,,,
05-09-2010,,,,,,,,,,
06-09-2010,,,,,,,,,,
07-09-2010,,,,,,,,,,
08-09-2010,,,,,,,,,,
09-09-2010,,,,,,,,,,
10-09-2010,,,,,,,,,,
11-09-2010,,,,,,,,,,
12-09-2010,,,,,,,,,,
13-09-2010,,,,,,,,,,
14-09-2010,,,,,,,,,,
15-09-2010,,,,,,,,,,
16-09-2010,,,,,,,,,,
17-09-2010,,,,,,,,,,
18-09-2010,,,,,,,,,,
19-09-2010,,,,,,,,,,
20-09-2010,,,,,,,,,,
21-09-2010,,,,,,,,,,
22-09-2010,,,,,,,,,,
23-09-2010,,,,,,,,,,
24-09-2010,,,,,,,,,,
25-09-2010,,,,,,,,,,
26-09-2010,,,,,,,,,,
27-09-2010,,,,,,,,,,
28-09-2010,,,,,,,,,,
29-09-2010,,,,,,,,,,
30-09-2010,,,,,,,,,,
01-10-2010,24,29.8,25.9,88,0.6,0.3,5,180,3,S 
02-10-2010,23,30.4,25.3,91,0.9,0.5,5,180,2,S 
03-10-2010,24,31,25.8,92,17.4,0.5,7,180,3,N 
04-10-2010,24,29,25.9,90,1,0.1,4,360,1,N 
05-10-2010,23,30.4,27.2,87,3.4,0.6,4,180,3,N 
06-10-2010,24,30.4,26.6,86,22.8,0.6,7,360,3,N 
07-10-2010,23,28.8,26.1,91,2.4,0.2,6,360,3,N 
08-10-2010,23,29.8,25.5,90,3,0.5,5,360,3,N 
09-10-2010,23,31,26,87,4,0.6,10,180,4,N 
10-10-2010,21,28.2,24.6,94,25.8,0,8,360,3,N 
11-10-2010,22,30,26.1,83,0,0.9,6,180,4,S 
12-10-2010,24,30.2,26,88,0.3,0,6,180,3,N 
13-10-2010,23,30.6,26.7,88,0.3,0.5,5,360,2,N 
14-10-2010,23,31.4,26.4,82,0,1,6,180,4,S 
15-10-2010,22,31.4,27.4,80,0,0.9,6,180,4,N 
16-10-2010,23,32,26.5,76,0,0.9,5,180,3,S 
17-10-2010,22,31.2,26.8,80,0,0.4,6,360,3,N 
18-10-2010,23,31.2,26.8,80,0,0.7,7,180,4,N 
19-10-2010,24,32,27.7,79,1.6,0.6,18,360,4,N 
20-10-2010,24,29.8,26.3,87,4.2,0.2,5,360,2,N 
21-10-2010,23,30.8,25,,28,0.5,5,360,3,N 
22-10-2010,23,31.4,26.1,80,0,0.8,6,180,3,N 
23-10-2010,24,31,27.1,83,18.8,0.6,7,180,3,N 
24-10-2010,23,29,26.2,88,8.6,0.2,3,360,1,N 
25-10-2010,23,31.1,26.8,87,15,0.7,15,180,4,N 
26-10-2010,24,31.6,27,84,0,0.9,7,360,3,N 
27-10-2010,23,30.4,26.9,,37.3,0.4,6,360,4,N 
28-10-2010,24,30.2,25.3,91,8.2,0.4,5,360,3,N 
29-10-2010,24,30,26.2,86,2.2,0.4,6,180,2,N 
30-10-2010,24,30.8,25.3,89,2.8,0.4,8,360,4,N 
31-10-2010,24,30.6,26.7,85,0.2,0.7,8,180,4,W 
01-11-2010,23,30.2,26.5,80,0,0.8,4,180,3,N 
02-11-2010,24,30.8,26.6,84,2,0.5,6,180,3,N 
